Correct,cdfRatioOfSums1,cdfRatioOfSums2,cdfRatioOfSums3,cdfRatioOfSums4,cdfRatioOfSums5,tOrthoVStParaAbs,hOrthoVShParaAbs,validFrameLength
0,1.064656595,0.906881416,0.881709812,1.010642061,1.104289059,0.48633,0.21547,91
0,1.283713526,1.16800598,1.050740247,1.099082266,1.137902391,0.39507,0.27614,629
1,0.70663,0.68722,0.7536,0.84467,0.86561,0.20589,0.51913,311
0,1.384255478,1.457577215,1.332161032,1.174991481,1.136144154,0.48698,0.12229,69
0,1.249859391,1.433671202,1.422212109,1.248532974,1.185845745,0.51139,0.20702,39
1,0.92476,1.07192,1.1377,0.91444,0.89669,0.44017,0.20287,25
0,1.296277092,1.113920667,1.018900606,1.128910263,1.143942254,0.44268,0.48641,111
1,0.88771,0.8722,0.85628,0.91832,0.96843,0.20902,0.48352,5912
0,1.057294806,1.069804761,1.027147509,0.964627123,0.923361034,0.41858,0.10307,286
1,0.92874,0.92832,0.94733,0.95572,0.95927,0.16231,0.53034,2171
1,1.05723,0.99548,0.98052,0.99142,0.99953,0.11954,0.5291,922
0,0.915708988,0.944840228,1.02891244,1.090346076,1.124644331,0.49125,0.25392,804
1,1.08583,0.98757,0.90963,0.86801,0.85106,0.25887,0.52381,3608
0,1.085870651,1.164157906,1.126608233,1.177260045,1.238420766,0.46977,0.29338,891
1,1.03406,0.91786,0.86321,0.82735,0.78584,0.33362,0.40396,869
1,0.99662,0.85061,0.79053,0.79047,0.79212,0.30935,0.52231,15
1,0.91663,0.77628,0.71564,0.70843,0.79544,0.36616,0.59204,14
0,1.34839945,1.548035543,1.516024378,1.389409918,1.269099954,0.71564,0.1323,29
1,1.12486,1.1306,1.0657,0.93152,0.92322,0.44171,0.55581,5055
1,1.04161,1.03392,1.01408,0.92084,0.93292,0.22043,0.47417,1099
1,0.95,0.96818,0.95946,0.8984,0.96601,0,0,1
0,0.877747349,0.913542352,0.994450964,1.127891632,1.147236308,0.48965,0.20404,2993
1,1.04065,1.03331,0.98487,0.94679,0.98468,0.17842,0.52118,2577
0,1.115610741,1.122384843,1.168046909,1.240571655,1.262913288,0.3805,0.17821,3352
1,0.74473,0.74878,0.6504,0.72304,0.78836,0.40277,0.54095,101
0,1.084728113,1.182899998,1.168538275,1.229634184,1.238804306,0.42873,0.32512,44
1,0.80689,0.75184,0.76015,0.80255,0.79468,0.21491,0.37001,1406
1,0.79545,0.8,0.78873,0.79775,0.74466,0,0,1
1,0.92894,0.96339,0.93556,0.86268,0.77119,0.21182,0.41615,2802
0,1.150350857,1.044386423,1.049538203,1.216234295,1.305585294,0.40084,0.21433,186
1,0.9182,0.89953,0.86491,0.80933,0.78361,0.16035,0.41106,1712
1,0.92502,0.94843,0.93033,0.83923,0.78279,0.17309,0.43521,6613
0,1.20492,1.52467,1.40097,1.11409,0.89415,0,0,4
0,0.999310476,1.222852671,1.240448546,1.145331058,1.060479124,0.21257,0.18275,37
1,0.9696,0.76907,0.79039,0.84009,0.88662,0.29688,0.55658,188
1,1.00668,0.81589,0.8285,0.8774,0.88499,0.36008,0.83807,31
1,1.09622,0.90852,0.76862,0.82593,0.86203,0.5183,0.21777,30
0,0.907564551,1.059120083,1.195457262,1.148422068,1.156644343,0,0,4
0,1.124416709,1.319313429,1.229830775,1.174398121,1.17183838,0.33926,0.42173,133
0,1.283598182,1.43589449,1.357146735,1.243502698,1.168319839,0,0,1
0,1.131208923,1.408311857,1.357091482,1.203123308,1.176512112,0.38632,0.29758,60
0,1.213990021,1.51276776,1.457789699,1.325627022,1.195385811,0.60091,0.23331,75
1,0.88828,0.73506,0.74438,0.79228,0.80492,0.27088,0.51996,223
1,0.88601,0.73531,0.76843,0.83183,0.84593,0.29961,0.48196,320
0,1.110654509,1.113189064,1.041460544,1.155147917,1.109040901,0.54513,0.26942,1766
1,0.81804,0.89511,1.16966,0.96181,0.92453,0.1691,0.25025,61
1,0.83784,0.79592,0.81538,0.79775,0.85971,0,0,1
0,1.115697869,1.072374559,1.090262862,1.210639096,1.129152458,0.30233,0.1004,35
0,1.070950469,1.024800164,0.97208181,1.096912192,1.105509861,0.55136,0.18279,102
0,1.23103,1,0.91129,1.08434,1.14159,0,0,1
0,1.008328796,1.085422772,1.165419668,1.161642563,1.077911439,0.43857,0.1626,995
0,0.943111514,1.117768041,1.311527011,1.221627697,1.042785489,0.39335,0.2867,84
0,1.07777203,1.252207015,1.329239276,1.131528922,0.983139163,0,0,3
1,1.07023,0.88048,0.70934,0.80978,0.96733,0.2461,0.35587,67
1,0.95698,0.83025,0.86144,0.94536,1.06575,0.07322,0.20193,7
0,0.944037459,1.092108425,1.167937772,1.105534305,1.03500383,0.40304,0.28636,407
1,0.9697,0.74,0.68243,0.80645,0.97368,0,0,1
1,1.03392,0.90979,0.87277,0.90593,0.97347,0.2285,0.35997,326
1,0.9777,1.03767,0.97977,0.91094,0.97534,0.42931,0.40959,100
1,0.95539,0.94651,0.78014,0.78054,0.80078,0.21868,0.32714,23
0,0.992004444,0.852500384,0.994322419,1.141031492,1.179398271,0,0,4
1,1.02755,0.88795,0.93375,1.00172,0.98914,0.68681,1.00224,101
0,1.119532483,1.297100979,1.200364911,1.084728113,1.039079791,0.38555,0.54114,328
0,1.237991483,1.259461706,1.052520787,1.068067972,1.046660108,0.31863,0.28589,106
0,0.959591598,0.791270702,0.963548943,1.14279184,1.159460619,0.27729,0.19672,6
0,1.074425451,1.124290292,1.214211127,1.090298524,1.03701092,0.53933,0.51742,102
1,0.95789,0.92308,0.75806,0.72043,0.78261,0,0,1
